!<mkRTViewData> v1.0.0
BTV/002/CUS .\win_b64\code\productIC\GSMUIIC.script|.\GSMUI
BTV/002/CUS .\win_b64\code\productIC\GSMUIIC.xml|.\GSMUI
RTV/002/DSI .\win_b64\code\productIC\GSMUIIC.required|.\GSMUI
CSC/002/DSI .\GSMUI\IdentityCard\Objects\win_b64\mkcsc\GSMUI.cscdb|.\GSMUI
DAT/002/CUS .\win_b64\code\dictionary\GSMUI.CATFactory|.\GSMUI\CNext\code\dictionary\GSMUI.CATFactory
DAT/002/CUS .\win_b64\code\dictionary\GSMUI.clsid|.\GSMUI\CNext\code\dictionary\GSMUI.clsid
DAT/002/CUS .\win_b64\code\dictionary\GSMUI.fact|.\GSMUI\CNext\code\dictionary\GSMUI.fact
DAT/002/CUS .\win_b64\code\dictionary\GSMUI.func|.\GSMUI\CNext\code\dictionary\GSMUI.func
DAT/002/CUS .\win_b64\code\dictionary\GSMUI.iid|.\GSMUI\CNext\code\dictionary\GSMUI.iid
DAT/002/CUS .\win_b64\resources\graphic\icons\GSD_WorkOnSupport3D.bmp|.\GSMUI\CNext\resources\graphic\icons\GSD_WorkOnSupport3D.bmp
DAT/002/CUS .\win_b64\resources\graphic\icons\GSD_WOS3D00_V5.bmp|.\GSMUI\CNext\resources\graphic\icons\GSD_WOS3D00_V5.bmp
DAT/002/CUS .\win_b64\resources\graphic\icons\GSD_WOS3D00_V6.bmp|.\GSMUI\CNext\resources\graphic\icons\GSD_WOS3D00_V6.bmp
DAT/002/CUS .\win_b64\resources\graphic\icons\GSD_WOS3D01_V5.bmp|.\GSMUI\CNext\resources\graphic\icons\GSD_WOS3D01_V5.bmp
DAT/002/CUS .\win_b64\resources\graphic\icons\GSD_WOS3D01_V6.bmp|.\GSMUI\CNext\resources\graphic\icons\GSD_WOS3D01_V6.bmp
DAT/002/CUS .\win_b64\resources\graphic\icons\GSD_WOS3D02_V5.bmp|.\GSMUI\CNext\resources\graphic\icons\GSD_WOS3D02_V5.bmp
DAT/002/CUS .\win_b64\resources\graphic\icons\GSD_WOS3D02_V6.bmp|.\GSMUI\CNext\resources\graphic\icons\GSD_WOS3D02_V6.bmp
DAT/002/CUS .\win_b64\resources\graphic\icons\GSD_WOS3D03_V5.bmp|.\GSMUI\CNext\resources\graphic\icons\GSD_WOS3D03_V5.bmp
DAT/002/CUS .\win_b64\resources\graphic\icons\GSD_WOS3D03_V6.bmp|.\GSMUI\CNext\resources\graphic\icons\GSD_WOS3D03_V6.bmp
DAT/002/CUS .\win_b64\resources\graphic\icons\GSD_WOS3D04_V5.bmp|.\GSMUI\CNext\resources\graphic\icons\GSD_WOS3D04_V5.bmp
